m,lam,Jsize,mu,vpi,d,vL0,cls
11,8|5|4|2|1|1|1,2,4,5,1,1,within-J*
11,8|5|3|3|3,2,6,7,1,1,within-J*
11,8|5|3|3|2|1,2,19,21,2,2,within-J*
11,8|5|3|3|1|1|1,4,16,25,9,3,needs-next
11,8|5|3|2|2|1|1,2,6,7,1,1,within-J*
11,8|5|3|2|1|1|1|1,2,4,5,1,1,within-J*
11,8|5|2|2|2|2|1,2,6,7,1,1,within-J*
11,8|5|2|2|2|1|1|1,4,21,25,4,5,needs-next
11,8|5|2|2|1|1|1|1|1,2,2,3,1,1,within-J*
11,8|5|2|1|1|1|1|1|1|1,2,19,21,2,2,within-J*
11,8|5|1|1|1|1|1|1|1|1|1,2,4,5,1,1,within-J*
11,8|4|4|3|3,2,8,9,1,1,within-J*
11,8|4|4|3|1|1|1,2,6,7,1,1,within-J*
11,8|4|4|2|2|1|1,2,4,5,1,1,within-J*
11,8|4|4|2|1|1|1|1,2,6,7,1,1,within-J*
11,8|4|3|3|3|1,2,6,7,1,1,within-J*
11,8|4|3|3|2|1|1,2,8,9,1,1,within-J*
11,8|4|3|3|1|1|1|1,2,6,7,1,1,within-J*
11,8|4|3|2|2|1|1|1,2,4,5,1,1,within-J*
11,8|4|2|2|2|2|2,2,6,7,1,1,within-J*
11,8|4|2|2|2|2|1|1,2,8,9,1,1,within-J*
11,8|4|2|2|2|1|1|1|1,2,2,3,1,1,within-J*
11,8|4|2|2|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,8|4|2|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,8|4|1|1|1|1|1|1|1|1|1|1,2,4,5,1,1,within-J*
11,8|3|3|3|3|1|1,2,6,7,1,1,within-J*
11,8|3|2|2|1|1|1|1|1|1|1,2,8,9,1,1,within-J*
11,8|2|2|2|2|2|2|2,2,6,7,1,1,within-J*
11,8|2|2|2|2|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,8|2|2|2|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,8|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,7|7|6|2,2,6,7,1,1,within-J*
11,7|7|5|3,2,4,5,1,1,within-J*
11,7|7|5|2|1,2,13,15,2,4,needs-next
11,7|7|4|2|2,2,14,20,6,4,needs-next
11,7|7|2|2|2|1|1,2,8,9,1,1,within-J*
11,7|7|2|2|1|1|1|1,2,6,7,1,1,within-J*
11,7|6|6|3,2,4,5,1,1,within-J*
11,7|6|5|2|2,2,13,15,2,4,needs-next
11,7|6|4|4|1,2,11,16,5,1,needs-next
11,7|6|3|3|1|1|1,2,13,15,2,2,within-J*
11,7|6|3|2|2|2,2,13,18,5,1,needs-next
11,7|6|3|1|1|1|1|1|1,2,11,15,4,1,needs-next
11,7|6|2|2|2|1|1|1,2,6,7,1,1,within-J*
11,7|5|5|5,2,6,7,1,1,within-J*
11,7|5|5|3|2,2,4,5,1,1,within-J*
11,7|5|5|3|1|1,2,4,5,1,1,within-J*
11,7|5|5|2|2|1,2,6,7,1,1,within-J*
11,7|5|5|2|1|1|1,4,17,21,4,3,needs-next
11,7|5|5|1|1|1|1|1,2,6,7,1,1,within-J*
11,7|5|4|3|3,2,6,7,1,1,within-J*
11,7|5|4|3|1|1|1,2,4,5,1,1,within-J*
11,7|5|4|2|2|1|1,2,6,7,1,1,within-J*
11,7|5|4|2|1|1|1|1,2,8,9,1,1,within-J*
11,7|5|3|3|3|1,2,8,9,1,1,within-J*
11,7|5|3|3|2|1|1,2,6,7,1,1,within-J*
11,7|5|3|3|1|1|1|1,2,4,5,1,1,within-J*
11,7|5|3|2|2|1|1|1,2,6,7,1,1,within-J*
11,7|5|2|2|2|2|2,2,8,9,1,1,within-J*
11,7|5|2|2|2|2|1|1,2,6,7,1,1,within-J*
11,7|5|2|2|2|1|1|1|1,2,6,7,1,1,within-J*
11,7|5|2|2|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,7|5|2|1|1|1|1|1|1|1|1,2,4,5,1,1,within-J*
11,7|5|1|1|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,7|4|4|4|3,2,15,17,2,2,within-J*
11,7|4|4|3|3|1,2,6,7,1,1,within-J*
11,7|4|4|3|2|1|1,2,4,5,1,1,within-J*
11,7|4|4|3|1|1|1|1,2,6,7,1,1,within-J*
11,7|4|4|2|2|2|1,2,13,15,2,6,needs-next
11,7|4|4|2|2|1|1|1,4,16,25,9,3,needs-next
11,7|4|4|2|1|1|1|1|1,2,15,17,2,2,within-J*
11,7|4|3|3|3|1|1,4,17,21,4,2,needs-next
11,7|4|3|3|2|1|1|1,2,4,5,1,1,within-J*
11,7|4|3|2|2|2|1|1,2,13,15,2,6,needs-next
11,7|4|3|2|2|1|1|1|1,2,15,17,2,2,within-J*
11,7|4|2|2|2|2|2|1,2,6,7,1,1,within-J*
11,7|4|2|2|2|2|1|1|1,2,13,15,2,4,needs-next
11,7|4|2|2|2|1|1|1|1|1,2,2,3,1,1,within-J*
11,7|4|2|2|1|1|1|1|1|1|1,4,17,21,4,2,needs-next
11,7|4|2|1|1|1|1|1|1|1|1|1,2,4,5,1,1,within-J*
11,7|4|1|1|1|1|1|1|1|1|1|1|1,2,13,15,2,12,needs-next
11,7|3|3|3|3|1|1|1,2,6,7,1,1,within-J*
11,7|3|3|2|2|2|1|1|1,4,17,22,5,3,needs-next
11,7|3|2|2|2|2|2|2,2,6,7,1,1,within-J*
11,7|3|2|2|2|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,7|3|2|2|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,7|2|2|2|2|1|1|1|1|1|1|1,2,8,9,1,1,within-J*
11,7|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,6|6|5|4|1,2,11,16,5,1,needs-next
11,6|6|4|4|2,4,10,14,4,6,needs-next
11,6|6|4|4|1|1,4,10,14,4,6,needs-next
11,6|6|4|3|2|1,2,15,17,2,1,needs-next
11,6|6|4|2|2|2,4,12,16,4,2,needs-next
11,6|6|4|1|1|1|1|1|1,4,12,16,4,2,needs-next
11,6|6|3|3|2|2,4,12,16,4,2,needs-next
11,6|6|3|2|2|2|1,2,13,18,5,1,needs-next
11,6|6|3|2|1|1|1|1|1,2,11,15,4,1,needs-next
11,6|6|3|1|1|1|1|1|1|1,4,12,16,4,2,needs-next
11,6|5|5|3|3,2,4,5,1,1,within-J*
11,6|5|5|3|1|1|1,2,6,7,1,1,within-J*
11,6|5|5|2|2|1|1,2,8,9,1,1,within-J*
11,6|5|5|2|1|1|1|1,2,6,7,1,1,within-J*
11,6|5|4|4|2|1,2,17,19,2,1,needs-next
11,6|5|4|3|2|2,2,15,17,2,1,needs-next
11,6|5|4|2|2|1|1|1,2,19,21,2,4,needs-next
11,6|5|4|1|1|1|1|1|1|1,2,17,19,2,1,needs-next
11,6|5|3|3|3|1|1,2,6,7,1,1,within-J*
11,6|5|2|2|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,6|4|4|4|2|2,4,10,14,4,4,within-J*
11,6|4|4|3|3|1|1,2,4,5,1,1,within-J*
11,6|4|4|3|2|1|1|1,2,19,21,2,4,needs-next
11,6|4|4|2|2|2|1|1,2,14,20,6,16,needs-next
11,6|4|4|2|2|1|1|1|1,2,14,20,6,4,needs-next
11,6|4|3|3|3|1|1|1,2,4,5,1,1,within-J*
11,6|4|3|2|2|2|1|1|1,4,17,22,5,2,needs-next
11,6|4|2|2|2|2|2|2,2,8,9,1,1,within-J*
11,6|4|2|2|2|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,6|4|2|2|1|1|1|1|1|1|1|1,2,4,5,1,1,within-J*
11,6|3|3|3|2|2|2|1,2,15,17,2,1,needs-next
11,6|3|3|3|2|2|1|1|1,4,10,14,4,4,within-J*
11,6|3|3|3|2|1|1|1|1|1,2,17,19,2,1,needs-next
11,6|3|3|2|2|2|2|1|1,4,12,16,4,3,needs-next
11,6|3|3|2|2|2|1|1|1|1,4,10,14,4,4,within-J*
11,6|3|3|1|1|1|1|1|1|1|1|1|1,4,10,14,4,4,within-J*
11,6|3|2|2|2|2|2|1|1|1,2,15,17,2,1,needs-next
11,6|3|2|2|2|1|1|1|1|1|1|1,2,19,21,2,4,needs-next
11,6|3|2|1|1|1|1|1|1|1|1|1|1|1,2,15,17,2,1,needs-next
11,5|5|5|4|1|1|1,2,15,17,2,6,needs-next
11,5|5|5|3|3|1,2,4,5,1,1,within-J*
11,5|5|5|3|2|1|1,2,6,7,1,1,within-J*
11,5|5|5|3|1|1|1|1,2,8,9,1,1,within-J*
11,5|5|5|2|2|1|1|1,2,6,7,1,1,within-J*
11,5|5|4|4|2|2,4,10,14,4,4,within-J*
11,5|5|4|3|3|1|1,2,4,5,1,1,within-J*
11,5|5|3|3|3|2|1,2,13,15,2,2,within-J*
11,5|5|3|3|3|1|1|1,2,4,5,1,1,within-J*
11,5|5|3|3|2|2|2,2,14,20,6,4,needs-next
11,5|5|3|3|1|1|1|1|1|1,2,14,20,6,8,needs-next
11,5|5|3|2|2|2|1|1|1,2,11,15,4,1,needs-next
11,5|5|3|2|1|1|1|1|1|1|1,2,15,17,2,6,needs-next
11,5|5|2|2|2|2|2|2,2,8,9,1,1,within-J*
11,5|5|2|2|2|1|1|1|1|1|1,2,4,5,1,1,within-J*
11,5|5|2|2|1|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,5|4|4|4|3|2,2,11,16,5,1,needs-next
11,5|4|4|4|2|2|1,2,11,16,5,1,needs-next
11,5|4|4|4|1|1|1|1|1,2,13,17,4,1,needs-next
11,5|4|4|3|3|1|1|1,2,6,7,1,1,within-J*
11,5|4|4|2|2|2|1|1|1,4,17,22,5,2,needs-next
11,5|4|3|3|3|2|2,2,13,15,2,2,within-J*
11,5|4|3|3|2|2|1|1|1,2,11,16,5,1,needs-next
11,5|4|3|3|1|1|1|1|1|1|1,2,15,17,2,4,needs-next
11,5|4|3|2|2|2|2|1|1,2,11,15,4,1,needs-next
11,5|4|3|2|2|2|1|1|1|1,2,11,16,5,1,needs-next
11,5|4|3|1|1|1|1|1|1|1|1|1|1,2,11,16,5,1,needs-next
11,5|4|2|2|2|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,5|3|3|3|3|2|1|1|1,2,11,16,5,1,needs-next
11,5|3|3|3|2|2|2|1|1,4,10,14,4,4,within-J*
11,5|3|3|3|2|2|1|1|1|1,4,12,16,4,3,needs-next
11,5|3|3|2|2|2|2|2|1,2,11,15,4,1,needs-next
11,5|3|3|2|2|2|2|1|1|1,4,10,14,4,4,within-J*
11,5|3|3|2|2|2|1|1|1|1|1,2,11,16,5,1,needs-next
11,5|3|3|2|1|1|1|1|1|1|1|1|1,2,11,16,5,1,needs-next
11,5|3|3|1|1|1|1|1|1|1|1|1|1|1,4,10,14,4,4,within-J*
11,5|2|2|2|2|2|2|2|1|1|1,2,13,15,2,2,within-J*
11,5|2|2|2|2|2|1|1|1|1|1|1|1,2,13,17,4,1,needs-next
11,5|2|2|2|1|1|1|1|1|1|1|1|1|1|1,2,13,15,2,2,within-J*
11,5|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,11,15,4,1,needs-next
11,4|4|4|4|4|1|1,2,6,7,1,1,within-J*
11,4|4|4|4|3|1|1|1,2,6,7,1,1,within-J*
11,4|4|4|3|3|3|1,2,4,5,1,1,within-J*
11,4|4|4|3|3|2|2,2,4,5,1,1,within-J*
11,4|4|4|3|3|2|1|1,2,6,7,1,1,within-J*
11,4|4|4|3|3|1|1|1|1,2,6,7,1,1,within-J*
11,4|4|4|3|1|1|1|1|1|1|1,2,8,9,1,1,within-J*
11,4|4|4|2|2|2|2|2,2,6,7,1,1,within-J*
11,4|4|4|2|2|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,4|4|4|2|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,4|4|3|3|3|3|2,2,6,7,1,1,within-J*
11,4|4|3|3|3|3|1|1,2,4,5,1,1,within-J*
11,4|4|3|3|3|2|2|1,2,4,5,1,1,within-J*
11,4|4|3|3|3|1|1|1|1|1,2,6,7,1,1,within-J*
11,4|4|3|3|2|2|2|2,2,6,7,1,1,within-J*
11,4|4|3|3|2|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,4|4|3|3|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,4|4|3|2|2|1|1|1|1|1|1|1,2,8,9,1,1,within-J*
11,4|4|2|2|2|2|2|2|2,2,6,7,1,1,within-J*
11,4|4|2|2|2|2|2|2|1|1,2,6,7,1,1,within-J*
11,4|4|2|2|2|2|2|1|1|1|1,2,4,5,1,1,within-J*
11,4|4|2|2|2|2|1|1|1|1|1|1,2,4,5,1,1,within-J*
11,4|4|2|2|2|1|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,4|4|2|2|1|1|1|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,4|4|2|1|1|1|1|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,4|4|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,4|3|3|3|3|2|2|2,2,4,5,1,1,within-J*
11,4|3|3|3|3|1|1|1|1|1|1,2,8,9,1,1,within-J*
11,4|3|3|3|2|2|2|1|1|1,4,21,26,5,5,within-J*
11,4|3|2|2|2|2|2|2|1|1|1,2,4,5,1,1,within-J*
11,4|3|2|2|1|1|1|1|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,4|2|2|2|2|2|2|2|2|1|1,2,4,5,1,1,within-J*
11,4|2|2|2|2|2|2|2|1|1|1|1,2,6,7,1,1,within-J*
11,4|2|2|2|2|1|1|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,4|2|2|2|1|1|1|1|1|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,4|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,3|3|3|3|3|3|2|2,2,4,5,1,1,within-J*
11,3|3|3|3|3|1|1|1|1|1|1|1,2,8,9,1,1,within-J*
11,3|3|3|2|2|2|1|1|1|1|1|1|1,4,17,22,5,3,needs-next
11,3|3|2|2|2|2|2|2|2|1|1,2,6,7,1,1,within-J*
11,3|3|2|2|2|2|2|2|1|1|1|1,2,4,5,1,1,within-J*
11,3|3|2|2|2|1|1|1|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,3|3|2|2|1|1|1|1|1|1|1|1|1|1|1|1,2,6,7,1,1,within-J*
11,3|2|2|2|2|2|2|2|2|1|1|1,2,4,5,1,1,within-J*
11,3|2|2|2|2|1|1|1|1|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
11,3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,2,2,3,1,1,within-J*
12,22|2,2,4,6,2,1,needs-next
12,21|3,2,4,6,2,1,needs-next
12,20|2|2,2,6,8,2,2,within-J*
12,19|4|1,2,15,16,1,1,within-J*
12,19|3|1|1,2,6,8,2,4,needs-next
12,18|6,2,4,6,2,1,needs-next
12,18|4|1|1,2,6,8,2,4,needs-next
12,18|3|3,2,8,10,2,1,needs-next
12,18|3|1|1|1,4,12,19,7,4,needs-next
12,18|2|2|1|1,2,4,6,2,1,needs-next
12,18|2|1|1|1|1,2,4,6,2,1,needs-next
12,17|7,2,4,6,2,1,needs-next
12,17|5|2,2,6,8,2,2,within-J*
12,17|3|3|1,2,8,10,2,1,needs-next
12,17|3|2|1|1,2,4,6,2,1,needs-next
12,17|3|1|1|1|1,2,4,6,2,1,needs-next
12,17|2|2|1|1|1,4,12,19,7,4,needs-next
12,16|6|2,2,10,12,2,4,needs-next
12,16|5|3,2,6,8,2,2,within-J*
12,16|5|2|1,2,19,20,1,1,within-J*
12,16|4|2|2,4,12,16,4,2,needs-next
12,16|3|3|1|1,2,4,6,2,1,needs-next
12,16|2|2|2|1|1,2,10,12,2,10,needs-next
12,16|2|2|1|1|1|1,2,10,12,2,12,needs-next
12,15|8|1,2,17,18,1,1,within-J*
12,15|7|1|1,2,10,12,2,2,within-J*
12,15|5|2|2,4,12,16,4,2,needs-next
12,15|4|4|1,2,6,8,2,4,needs-next
12,15|4|3|2,2,15,16,1,1,within-J*
12,15|4|2|2|1,2,15,16,1,1,within-J*
12,15|4|1|1|1|1|1,2,15,16,1,1,within-J*
12,15|3|3|1|1|1,2,4,6,2,1,needs-next
12,15|3|2|2|2,2,10,12,2,2,within-J*
12,15|3|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,15|2|2|2|1|1|1,2,15,16,1,1,within-J*
12,14|10,2,6,8,2,1,needs-next
12,14|8|1|1,2,10,12,2,2,within-J*
12,14|7|3,2,4,6,2,1,needs-next
12,14|7|1|1|1,4,14,21,7,3,needs-next
12,14|6|4,2,4,6,2,1,needs-next
12,14|6|3|1,2,6,8,2,1,needs-next
12,14|6|2|1|1,2,8,10,2,1,needs-next
12,14|6|1|1|1|1,2,8,10,2,1,needs-next
12,14|5|3|1|1,2,6,8,2,1,needs-next
12,14|4|4|2,2,6,8,2,4,needs-next
12,14|4|4|1|1,4,12,23,11,2,needs-next
12,14|4|3|1|1|1,2,6,8,2,1,needs-next
12,14|4|2|2|2,2,10,12,2,2,within-J*
12,14|4|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,14|3|3|3|1,2,4,6,2,1,needs-next
12,14|3|3|2|2,4,12,21,9,7,needs-next
12,14|3|3|2|1|1,2,4,6,2,1,needs-next
12,14|3|3|1|1|1|1,2,6,8,2,1,needs-next
12,14|3|1|1|1|1|1|1|1,4,12,19,7,2,needs-next
12,14|2|2|2|2|2,2,8,10,2,1,needs-next
12,14|2|2|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,14|2|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,13|11,2,6,8,2,1,needs-next
12,13|9|2,2,10,12,2,4,needs-next
12,13|7|4,2,6,8,2,1,needs-next
12,13|7|3|1,2,4,6,2,1,needs-next
12,13|7|2|1|1,2,8,10,2,1,needs-next
12,13|7|1|1|1|1,2,8,10,2,1,needs-next
12,13|6|4|1,2,4,6,2,1,needs-next
12,13|6|3|1|1,4,21,25,4,3,needs-next
12,13|6|2|1|1|1,4,14,21,7,3,needs-next
12,13|5|4|1|1,2,6,8,2,1,needs-next
12,13|5|3|3,2,6,8,2,2,within-J*
12,13|5|3|1|1|1,4,12,21,9,2,needs-next
12,13|5|2|2|1|1,2,10,12,2,8,needs-next
12,13|5|2|1|1|1|1,2,10,12,2,4,needs-next
12,13|4|4|1|1|1,2,6,8,2,1,needs-next
12,13|4|2|2|1|1|1,2,15,16,1,1,within-J*
12,13|3|3|3|2,2,4,6,2,1,needs-next
12,13|3|3|3|1|1,4,12,24,12,5,needs-next
12,13|3|3|2|2|1,2,4,6,2,1,needs-next
12,13|3|3|1|1|1|1|1,2,6,8,2,1,needs-next
12,13|3|2|2|2|2,2,8,10,2,1,needs-next
12,13|3|2|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,13|3|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,13|2|2|1|1|1|1|1|1|1,4,12,19,7,2,needs-next
12,12|10|2,2,8,10,2,2,within-J*
12,12|9|3,2,8,10,2,2,within-J*
12,12|9|2|1,2,19,20,1,1,within-J*
12,12|8|2|2,4,12,16,4,2,needs-next
12,12|7|3|1|1,2,4,6,2,1,needs-next
12,12|6|6,2,12,14,2,2,within-J*
12,12|6|4|1|1,2,4,6,2,1,needs-next
12,12|6|3|3,2,8,10,2,2,within-J*
12,12|6|3|1|1|1,4,12,23,11,2,needs-next
12,12|6|2|2|1|1,2,10,12,2,4,needs-next
12,12|6|2|1|1|1|1,2,10,12,2,8,needs-next
12,12|5|5|2,4,14,18,4,2,needs-next
12,12|5|4|3,2,21,22,1,1,within-J*
12,12|5|3|3|1,2,6,8,2,2,within-J*
12,12|5|3|2|1|1,2,12,14,2,2,within-J*
12,12|5|3|1|1|1|1,2,12,14,2,2,within-J*
12,12|5|2|2|2|1,2,21,22,1,1,within-J*
12,12|5|2|2|1|1|1,4,18,25,7,3,needs-next
12,12|5|2|1|1|1|1|1,2,21,22,1,1,within-J*
12,12|4|4|2|2,2,6,8,2,4,needs-next
12,12|4|3|3|1|1,2,8,10,2,2,within-J*
12,12|4|3|2|1|1|1,2,15,16,1,1,within-J*
12,12|4|2|2|2|1|1,4,12,16,4,5,needs-next
12,12|4|2|2|1|1|1|1,4,12,16,4,5,needs-next
12,12|3|3|3|1|1|1,2,8,10,2,2,within-J*
12,12|3|3|2|2|2,2,4,6,2,1,needs-next
12,12|3|3|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,12|3|2|2|2|1|1|1,2,19,20,1,1,within-J*
12,12|2|2|2|2|2|2,2,10,12,2,10,needs-next
12,12|2|2|2|1|1|1|1|1|1,2,8,10,2,2,within-J*
12,12|2|2|1|1|1|1|1|1|1|1,2,8,10,2,2,within-J*
12,11|11|1|1,2,8,10,2,4,needs-next
12,11|9|2|2,4,12,16,4,2,needs-next
12,11|8|5,2,15,16,1,1,within-J*
12,11|8|4|1,2,8,10,2,6,needs-next
12,11|8|3|2,2,15,16,1,1,within-J*
12,11|8|2|2|1,2,15,16,1,1,within-J*
12,11|8|1|1|1|1|1,2,15,16,1,1,within-J*
12,11|7|5|1,2,12,14,2,4,needs-next
12,11|7|4|2,2,8,10,2,12,needs-next
12,11|7|4|1|1,4,12,21,9,2,needs-next
12,11|7|3|1|1|1,2,4,6,2,1,needs-next
12,11|7|2|2|2,2,10,12,2,2,within-J*
12,11|7|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,11|6|5|2,2,15,16,1,1,within-J*
12,11|6|4|1|1|1,2,4,6,2,1,needs-next
12,11|6|2|2|1|1|1,2,15,16,1,1,within-J*
12,11|5|5|3,4,14,18,4,2,needs-next
12,11|5|5|2|1,2,15,16,1,1,within-J*
12,11|5|4|2|2,2,8,10,2,4,needs-next
12,11|5|3|3|1|1,2,6,8,2,2,within-J*
12,11|5|3|2|1|1|1,2,15,16,1,1,within-J*
12,11|5|2|2|2|1|1,4,12,16,4,5,needs-next
12,11|5|2|2|1|1|1|1,4,12,16,4,5,needs-next
12,11|4|4|3|2,2,12,14,2,4,needs-next
12,11|4|4|2|2|1,2,6,8,2,4,needs-next
12,11|4|4|2|1|1|1,2,15,16,1,1,within-J*
12,11|4|4|1|1|1|1|1,2,12,14,2,8,needs-next
12,11|4|3|3|3,2,17,18,1,1,within-J*
12,11|4|3|3|1|1|1,2,17,18,1,1,within-J*
12,11|4|3|2|2|1|1,2,17,18,1,1,within-J*
12,11|4|3|2|1|1|1|1,2,15,16,1,1,within-J*
12,11|4|2|2|2|2|1,2,17,18,1,1,within-J*
12,11|4|2|2|2|1|1|1,4,18,25,7,3,needs-next
12,11|4|2|2|1|1|1|1|1,2,15,16,1,1,within-J*
12,11|4|1|1|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,11|3|3|3|2|2,2,4,6,2,1,needs-next
12,11|3|3|2|2|1|1|1,2,8,10,2,4,needs-next
12,11|3|3|1|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,11|3|2|2|2|2|1|1,2,10,12,2,2,within-J*
12,11|3|2|2|2|1|1|1|1,2,8,10,2,6,needs-next
12,11|3|1|1|1|1|1|1|1|1|1|1,2,8,10,2,8,needs-next
12,11|2|2|2|1|1|1|1|1|1|1,2,15,16,1,1,within-J*
12,10|10|4,2,8,10,2,1,needs-next
12,10|10|3|1,2,8,10,2,1,needs-next
12,10|10|2|1|1,2,6,8,2,1,needs-next
12,10|10|1|1|1|1,2,6,8,2,1,needs-next
12,10|9|3|1|1,2,6,8,2,1,needs-next
12,10|8|5|1,2,8,10,2,6,needs-next
12,10|8|4|2,2,12,14,2,10,needs-next
12,10|8|4|1|1,4,12,19,7,6,needs-next
12,10|8|3|1|1|1,2,6,8,2,1,needs-next
12,10|8|2|2|2,2,10,12,2,2,within-J*
12,10|8|1|1|1|1|1|1,2,10,12,2,2,within-J*
12,10|7|7,2,6,8,2,1,needs-next
12,10|7|5|2,2,8,10,2,10,needs-next
12,10|7|5|1|1,4,12,24,12,2,needs-next
12,10|7|4|2|1,4,12,19,7,4,needs-next
12,10|7|4|1|1|1,4,25,29,4,5,needs-next
12,10|7|3|3|1,2,6,8,2,1,needs-next
12,10|7|3|2|2,4,12,21,9,5,needs-next
12,10|7|3|2|1|1,2,6,8,2,1,needs-next
12,10|7|3|1|1|1|1,2,4,6,2,1,needs-next
12,10|7|1|1|1|1|1|1|1,4,12,19,7,2,needs-next
12,10|6|6|1|1,2,6,8,2,1,needs-next
12,10|6|5|1|1|1,2,6,8,2,1,needs-next
12,10|6|4|4,2,8,10,2,1,needs-next
12,10|6|4|3|1,2,10,12,2,1,needs-next
12,10|6|4|2|2,4,12,19,7,4,needs-next
12,10|6|4|2|1|1,2,10,12,2,1,needs-next
12,10|6|4|1|1|1|1,2,4,6,2,1,needs-next
12,10|6|3|3|2,2,6,8,2,1,needs-next
12,10|6|3|3|1|1,4,12,21,9,6,needs-next
12,10|6|3|2|2|1,2,6,8,2,1,needs-next
12,10|6|3|1|1|1|1|1,2,6,8,2,1,needs-next
12,10|6|2|2|2|2,2,8,10,2,1,needs-next
12,10|6|2|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,10|6|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
12,10|5|5|2|2,2,8,10,2,4,needs-next
12,10|5|4|4|1,2,8,10,2,1,needs-next
12,10|5|3|3|1|1|1,2,6,8,2,2,within-J*
12,10|5|3|2|2|2,2,6,8,2,1,needs-next
12,10|5|3|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,10|5|2|2|2|1|1|1,2,19,20,1,1,within-J*
12,10|4|4|4|2,4,14,21,7,2,needs-next
12,10|4|4|4|1|1,2,8,10,2,1,needs-next
12,10|4|4|3|3,2,12,14,2,4,needs-next
12,10|4|4|2|2|2,4,12,19,7,5,needs-next
12,10|4|4|2|2|1|1,2,6,8,2,4,needs-next
12,10|4|4|2|1|1|1|1,2,12,14,2,4,needs-next
12,10|4|4|1|1|1|1|1|1,4,14,23,9,3,needs-next
12,10|4|3|3|2|2,2,6,8,2,1,needs-next
12,10|4|3|2|2|1|1|1,2,8,10,2,4,needs-next
12,10|4|3|1|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,10|4|2|2|2|2|1|1,2,10,12,2,2,within-J*
12,10|4|2|2|2|1|1|1|1,2,8,10,2,6,needs-next
12,10|4|1|1|1|1|1|1|1|1|1|1,2,8,10,2,8,needs-next
12,10|3|3|3|3|2,2,10,12,2,1,needs-next
12,10|3|3|3|2|2|1,2,4,6,2,1,needs-next
12,10|3|3|3|1|1|1|1|1,2,8,10,2,1,needs-next
12,10|3|3|2|2|2|2,2,4,6,2,1,needs-next
12,10|3|3|2|2|2|1|1,4,12,19,7,4,needs-next
12,10|3|3|2|2|1|1|1|1,4,14,26,12,2,needs-next
12,10|3|3|2|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,10|3|3|1|1|1|1|1|1|1|1,2,8,10,2,1,needs-next
12,10|3|2|2|2|2|1|1|1,4,12,19,7,6,needs-next
12,10|3|1|1|1|1|1|1|1|1|1|1|1,4,12,19,7,5,needs-next
12,10|2|2|2|2|2|2|1|1,2,6,8,2,1,needs-next
12,10|2|2|2|2|2|1|1|1|1,2,6,8,2,1,needs-next
12,10|2|2|1|1|1|1|1|1|1|1|1|1,2,6,8,2,1,needs-next
